Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.30/input_layernorm/output_3,Model loading failed
ConvertLike_8308,Model loading failed
Transpose_8310,Model loading failed
Subtract_8311,Model loading failed
Multiply_8312,Model loading failed
Transpose_8313,Model loading failed
Reshape_8315,Model loading failed
Slice_8320,Model loading failed
/model/layers.30/attn/o_proj/MatMul_Q4,Model loading failed
/model/layers.30/post_attention_layernorm/SkipLayerNorm_/model/layers.30/post_attention_layernorm/output_3,Model loading failed
Multiply_8323,Model loading failed
/model/layers.30/post_attention_layernorm/SkipLayerNorm_,Model loading failed
Add_8327,Model loading failed
Sqrt_8328,Model loading failed
/model/layers.30/post_attention_layernorm/SkipLayerNorm__1,Model loading failed
Multiply_8331,Model loading failed
/model/layers.30/post_attention_layernorm/SkipLayerNorm_/model/layers.30/post_attention_layernorm/output_0,Model loading failed
ConvertLike_8335,Model loading failed
Transpose_8337,Model loading failed
Subtract_8338,Model loading failed
Multiply_8339,Model loading failed
Transpose_8340,Model loading failed
Reshape_8342,Model loading failed
Slice_8347,Model loading failed
/model/layers.30/mlp/gate_proj/MatMul_Q4,Model loading failed
/model/layers.30/mlp/act_fn/Sigmoid,Model loading failed
/model/layers.30/mlp/act_fn/Mul,Model loading failed
ConvertLike_8353,Model loading failed
Transpose_8355,Model loading failed
Subtract_8356,Model loading failed
Multiply_8357,Model loading failed
Transpose_8358,Model loading failed
Reshape_8360,Model loading failed
Slice_8365,Model loading failed
/model/layers.30/mlp/up_proj/MatMul_Q4,Model loading failed
/model/layers.30/mlp/Mul,Model loading failed
ConvertLike_8370,Model loading failed
Transpose_8372,Model loading failed
Subtract_8373,Model loading failed
Multiply_8374,Model loading failed
Transpose_8375,Model loading failed
Reshape_8377,Model loading failed
Slice_8382,Model loading failed
/model/layers.30/mlp/down_proj/MatMul_Q4,Model loading failed
/model/layers.31/input_layernorm/output_3,Model loading failed
Multiply_8385,Model loading failed
/model/layers.31/input_layernorm/SkipLayerNorm_,Model loading failed
Add_8389,Model loading failed
Sqrt_8390,Model loading failed
/model/layers.31/input_layernorm/SkipLayerNorm__1,Model loading failed
Multiply_8393,Model loading failed
/model/layers.31/input_layernorm/SkipLayerNorm_/model/layers.31/input_layernorm/output_0,Model loading failed
ConvertLike_8397,Model loading failed
Transpose_8399,Model loading failed
Subtract_8400,Model loading failed
Multiply_8401,Model loading failed
Transpose_8402,Model loading failed
Reshape_8404,Model loading failed
Slice_8409,Model loading failed
/model/layers.31/attn/qkv_proj/MatMul/output_0,Model loading failed
