Subgraph,5 highest absolute error,0.01 result,0.001 result,4dp result,First 5 CPU Tensors,First 5 NPU Tensors
/model/layers.25/input_layernorm/output_3,Model loading failed
ConvertLike_7643,Model loading failed
Transpose_7645,Model loading failed
Subtract_7646,Model loading failed
Multiply_7647,Model loading failed
Transpose_7648,Model loading failed
Reshape_7650,Model loading failed
Slice_7655,Model loading failed
/model/layers.25/attn/o_proj/MatMul_Q4,Model loading failed
/model/layers.25/post_attention_layernorm/SkipLayerNorm_/model/layers.25/post_attention_layernorm/output_3,Model loading failed
Multiply_7658,Model loading failed
/model/layers.25/post_attention_layernorm/SkipLayerNorm_,Model loading failed
Add_7662,Model loading failed
Sqrt_7663,Model loading failed
/model/layers.25/post_attention_layernorm/SkipLayerNorm__1,Model loading failed
Multiply_7666,Model loading failed
/model/layers.25/post_attention_layernorm/SkipLayerNorm_/model/layers.25/post_attention_layernorm/output_0,Model loading failed
ConvertLike_7670,Model loading failed
Transpose_7672,Model loading failed
Subtract_7673,Model loading failed
Multiply_7674,Model loading failed
Transpose_7675,Model loading failed
Reshape_7677,Model loading failed
Slice_7682,Model loading failed
/model/layers.25/mlp/gate_proj/MatMul_Q4,Model loading failed
/model/layers.25/mlp/act_fn/Sigmoid,Model loading failed
/model/layers.25/mlp/act_fn/Mul,Model loading failed
ConvertLike_7688,Model loading failed
Transpose_7690,Model loading failed
Subtract_7691,Model loading failed
Multiply_7692,Model loading failed
Transpose_7693,Model loading failed
Reshape_7695,Model loading failed
Slice_7700,Model loading failed
/model/layers.25/mlp/up_proj/MatMul_Q4,Model loading failed
/model/layers.25/mlp/Mul,Model loading failed
ConvertLike_7705,Model loading failed
Transpose_7707,Model loading failed
Subtract_7708,Model loading failed
Multiply_7709,Model loading failed
Transpose_7710,Model loading failed
Reshape_7712,Model loading failed
Slice_7717,Model loading failed
/model/layers.25/mlp/down_proj/MatMul_Q4,Model loading failed
/model/layers.26/input_layernorm/output_3,Model loading failed
Multiply_7720,Model loading failed
/model/layers.26/input_layernorm/SkipLayerNorm_,Model loading failed
Add_7724,Model loading failed
Sqrt_7725,Model loading failed
/model/layers.26/input_layernorm/SkipLayerNorm__1,Model loading failed
Multiply_7728,Model loading failed
/model/layers.26/input_layernorm/SkipLayerNorm_/model/layers.26/input_layernorm/output_0,Model loading failed
ConvertLike_7732,Model loading failed
Transpose_7734,Model loading failed
Subtract_7735,Model loading failed
Multiply_7736,Model loading failed
Transpose_7737,Model loading failed
Reshape_7739,Model loading failed
Slice_7744,Model loading failed
/model/layers.26/attn/qkv_proj/MatMul/output_0,Model loading failed
